id,host_id,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
55668,88209,75.0,115.0,2018-05-12,1.17,1,130
647520,3245431,302.0,29.0,2019-02-01,0.37,1,234
803778,4230317,277.0,47.0,2019-02-01,0.67,1,465
1818411,9522475,332.0,93.0,2019-03-01,1.36,2,455
22045060,9522475,332.0,26.0,2019-02-01,1.77,2,455
2201154,5081260,313.0,38.0,2019-02-01,0.6,1,208
6747685,29769754,223.0,35.0,2019-02-01,0.72,1,499
8254674,4910739,54.0,31.0,2019-01-07,1.29,1,700
16847069,62103724,336.0,51.0,2019-02-01,1.76,1,399
19376872,7107479,5.0,37.0,2019-02-01,1.5,1,191
20016493,142118455,116.0,38.0,2019-02-01,1.65,1,1795
32047248,158725307,38.0,0.0,2019-02-01,0.72,2,400
21783251,158725307,194.0,81.0,2019-02-01,4.24,2,200
22753775,168044240,70.0,42.0,2019-07-06,2.45,1,265
60164,289653,329.0,94.0,2019-02-01,0.99,1,500
164989,69439,221.0,54.0,2019-02-01,0.56,1,140
299078,787261,109.0,152.0,2019-02-01,1.69,1,250
494937,1527535,26.0,63.0,2019-07-07,0.76,1,499
591135,1523018,365.0,132.0,2019-05-06,1.75,1,125
651375,3272526,169.0,59.0,2019-02-01,0.77,1,595
951944,1408973,44.0,73.0,2019-05-07,0.94,1,235
998887,227908,11.0,33.0,2019-02-06,0.43,1,130
1070458,3968209,355.0,64.0,2019-06-05,0.87,2,100
27874671,3968209,361.0,8.0,2019-02-01,0.81,2,100
1365028,7409102,257.0,95.0,2019-02-01,1.31,1,265
1382158,7458733,269.0,77.0,2019-05-07,2.0,1,90
1403870,7576337,21.0,68.0,2019-02-01,0.95,1,200
1492286,7977178,276.0,51.0,2019-02-01,0.79,3,80
14350781,7977178,275.0,8.0,2019-01-06,0.23,3,80
12864784,7977178,304.0,18.0,2019-02-01,0.49,3,130
1630572,2935265,340.0,141.0,2019-02-01,2.0,2,194
2478825,2935265,30.0,18.0,2019-02-01,0.28,2,400
1973889,3020145,291.0,191.0,2019-02-01,2.81,1,106
7511452,2588427,156.0,51.0,2018-05-01,1.11,2,300
2371794,2588427,4.0,30.0,2019-02-01,0.48,2,150
3849226,5369757,354.0,55.0,2019-02-01,0.94,1,149
4071007,10135,304.0,71.0,2019-11-06,1.21,2,120
4048043,10135,340.0,125.0,2019-02-01,2.14,2,135
